ShowName,Links,Imdb,Reelgood,Genres,MaturityRating,RunningDate,Seasons,ReturningDate,Service,Country
The Sopranos,https://reelgood.com/show/the-sopranos-1999,9.2,91.0,"['Crime', 'Drama']",Rated: 18+ (TV-MA),1999 - 2007,6 Seasons,Series Ended,"['HBO', 'HBO MAX']",Country: America
Vikings,https://reelgood.com/show/vikings-2013,8.5,91.0,"['Action & Adventure', 'Drama']",Rated: 18+ (TV-MA),2013 - Present,6 Seasons,Returning: Date TBA,"['Hulu', 'Prime Video']",Country: Canada
Lost,https://reelgood.com/show/lost-2004,8.3,91.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2004 - 2010,6 Seasons,Series Ended,['Hulu'],Country: America
Brooklyn Nine-Nine,https://reelgood.com/show/brooklyn-nine-nine-2013,8.4,91.0,"['Action & Adventure', 'Comedy', 'Crime']",Rated: 14+ (TV-14),2013 - Present,7 Seasons,Returning: Date TBA,"['Hulu', 'fuboTV']",Country: America
The Walking Dead,https://reelgood.com/show/the-walking-dead-2010,8.2,91.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Horror', 'Science-Fiction']",Rated: 18+ (TV-MA),2010 - Present,10 Seasons,"Returns: Oct. 5, 2020","['Netflix', 'fuboTV', 'AMC Premiere']",Country: America
Mindhunter,https://reelgood.com/show/mindhunter-2017,8.6,91.0,"['Crime', 'Drama']",Rated: 18+ (TV-MA),2017 - Present,2 Seasons,Returning: Date TBA,['Netflix'],Country: America
Sex Education,https://reelgood.com/show/sex-education-2019,8.3,86.0,"['Comedy', 'Drama']",Rated: 14+ (TV-14),2019 - Present,2 Seasons,Returning: Date TBA,['Netflix'],Country: United Kingdom
Westworld,https://reelgood.com/show/westworld-2016,8.7,91.0,"['Action & Adventure', 'Drama', 'Mystery', 'Science-Fiction']",Rated: 18+ (TV-MA),2016 - Present,3 Seasons,Returning: Date TBA,"['HBO', 'HBO MAX']",Country: America
Narcos,https://reelgood.com/show/narcos-2015,8.8,91.0,"['Action & Adventure', 'Crime', 'Drama']",Rated: 18+ (TV-MA),2015 - 2017,3 Seasons,Series Ended,['Netflix'],Country: America
Dexter,https://reelgood.com/show/dexter-2006,8.6,91.0,"['Crime', 'Drama', 'Mystery']",Rated: 18+ (TV-MA),2006 - 2013,8 Seasons,Series Ended,"['Netflix', 'fuboTV', 'Showtime']",Country: America
True Detective,https://reelgood.com/show/true-detective-2014,9.0,91.0,"['Crime', 'Drama', 'Mystery']",Rated: 18+ (TV-MA),2014 - Present,3 Seasons,Returning: Date TBA,"['HBO', 'HBO MAX']",Country: America
Cobra Kai,https://reelgood.com/show/cobra-kai-2018,8.8,90.0,"['Action & Adventure', 'Comedy', 'Drama', 'Sport']",Rated: 14+ (TV-14),2018 - Present,2 Seasons,Returning: Date TBA,['Netflix'],Country: America
South Park,https://reelgood.com/show/south-park-1997,8.7,90.0,"['Animation', 'Comedy']",Rated: 18+ (TV-MA),1997 - Present,23 Seasons,Returning: Date TBA,"['Hulu', 'HBO', 'HBO MAX']",Country: America
Parks and Recreation,https://reelgood.com/show/parks-and-recreation-2009,8.6,90.0,['Comedy'],Rated: 14+ (TV-14),2009 - 2015,7 Seasons,Series Ended,"['Netflix', 'Hulu', 'Prime Video', 'fuboTV']",Country: America
Marvel's Daredevil,https://reelgood.com/show/marvels-daredevil-2015,8.6,90.0,"['Action & Adventure', 'Crime', 'Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 18+ (TV-MA),2015 - 2018,3 Seasons,Series Ended,['Netflix'],Country: America
Mad Men,https://reelgood.com/show/mad-men-2007,8.6,90.0,['Drama'],Rated: 14+ (TV-14),2007 - 2015,7 Seasons,Series Ended,['Netflix'],
Firefly,https://reelgood.com/show/firefly-2002,9.0,90.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2002 - 2003,1 Season,Series Ended,['Hulu'],Country: America
Suits,https://reelgood.com/show/suits-2011,8.5,90.0,"['Comedy', 'Drama']",Rated: 14+ (TV-14),2011 - 2019,9 Seasons,Series Ended,['Prime Video'],Country: America
Suits,https://reelgood.com/show/suits-2011,7.4,51.0,"['Crime', 'Drama']",,2018 - 2018,1 Season,Series Ended,['Netflix'],
The Big Bang Theory,https://reelgood.com/show/the-big-bang-theory-2007,8.1,90.0,['Comedy'],Rated: 14+ (TV-14),2007 - 2019,12 Seasons,Series Ended,"['Hulu', 'HBO', 'HBO MAX']",Country: America
Shameless,https://reelgood.com/show/shameless-2011,8.6,90.0,"['Comedy', 'Drama']",Rated: 18+ (TV-MA),2011 - Present,10 Seasons,Returning: Date TBA,"['Netflix', 'fuboTV', 'Showtime']",Country: America
Shameless,https://reelgood.com/show/shameless-2011,8.0,70.0,"['Comedy', 'Crime', 'Drama']",Rated: 18+ (TV-MA),2004 - 2013,11 Seasons,Series Ended,"['Hulu', 'Prime Video']",Country: United Kingdom
Fringe,https://reelgood.com/show/fringe-2008,8.4,90.0,"['Crime', 'Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2008 - 2013,5 Seasons,Series Ended,"['Hulu', 'Prime Video']",Country: Canada ...More CountriesCanadaAmerica
Modern Family,https://reelgood.com/show/modern-family-2009,8.4,90.0,"['Comedy', 'Drama', 'Family']",Rated: 7+ (TV-PG),2009 - 2020,11 Seasons,Series Ended,['Hulu'],
The Last Dance,https://reelgood.com/show/the-last-dance-2020,9.2,90.0,"['Documentary', 'Sport']",Rated: 14+ (TV-14),2020 - 2020,1 Season,Series Ended,['Netflix'],Country: America
Community,https://reelgood.com/show/community-2009,8.5,90.0,['Comedy'],Rated: 7+ (TV-PG),2009 - 2015,6 Seasons,Series Ended,"['Netflix', 'Hulu']",Country: America
Hannibal,https://reelgood.com/show/hannibal-2013,8.5,90.0,"['Crime', 'Drama', 'Horror', 'Mystery']",Rated: 18+ (TV-MA),2013 - 2015,3 Seasons,Series Ended,['Netflix'],Country: America
It's Always Sunny in Philadelphia,https://reelgood.com/show/its-always-sunny-in-philadelphia-2005,8.8,90.0,['Comedy'],Rated: 18+ (TV-MA),2005 - Present,14 Seasons,Returning: Date TBA,"['Hulu', 'fuboTV']",Country: America
Twin Peaks,https://reelgood.com/show/twin-peaks-1990,8.8,90.0,"['Crime', 'Drama', 'Fantasy', 'Horror', 'Mystery']",Rated: 18+ (TV-MA),1990 - 2017,3 Seasons,Series Ended,"['Netflix', 'Hulu', 'Showtime', 'CBS All Access']",Country: America
Ozark,https://reelgood.com/show/ozark-2017,8.4,90.0,"['Crime', 'Drama', 'Mystery']",Rated: 18+ (TV-MA),2017 - Present,3 Seasons,Returning: Date TBA,['Netflix'],Country: America
The Witcher,https://reelgood.com/show/the-witcher-2020,8.2,90.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 18+ (TV-MA),2019 - Present,1 Season,Returning: Date TBA,['Netflix'],Country: America
Seinfeld,https://reelgood.com/show/seinfeld-1989,8.8,89.0,"['Comedy', 'Stand-up & Talk']",Rated: 7+ (TV-PG),1989 - 1998,9 Seasons,Series Ended,"['Hulu', 'fuboTV']",Country: America
Fullmetal Alchemist: Brotherhood,https://reelgood.com/show/fullmetal-alchemist-brotherhood-2009,9.1,89.0,"['Action & Adventure', 'Animation', 'Anime', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 18+ (TV-MA),2009 - 2010,1 Season,Series Ended,"['Netflix', 'Hulu', 'HBO', 'HBO MAX', 'Funimation']",Country: Japan
The Haunting,https://reelgood.com/show/the-haunting-of-hill-house-2018,8.7,89.0,"['Drama', 'Horror', 'Mystery']",Rated: 18+ (TV-MA),2018 - Present,1 Season,Returning: Date TBA,['Netflix'],Country: America
The 100,https://reelgood.com/show/the-100-2014,7.7,89.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2014 - Present,7 Seasons,"Returns: Sep. 10, 2020","['Netflix', 'fuboTV']",Country: America
Homeland,https://reelgood.com/show/homeland-2011,8.3,89.0,"['Action & Adventure', 'Crime', 'Drama', 'Mystery']",Rated: 18+ (TV-MA),2011 - 2020,8 Seasons,Series Ended,"['fuboTV', 'Showtime']",Country: America
How I Met Your Mother,https://reelgood.com/show/how-i-met-your-mother-2005,8.3,89.0,['Comedy'],Rated: 14+ (TV-14),2005 - 2014,9 Seasons,Series Ended,['Hulu'],Country: America
The Good Place,https://reelgood.com/show/the-good-place-2016,8.2,89.0,"['Comedy', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2016 - 2020,4 Seasons,Series Ended,"['Netflix', 'Hulu', 'fuboTV']",Country: America
The Expanse,https://reelgood.com/show/the-expanse-2015,8.5,89.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2015 - Present,4 Seasons,Returning: Date TBA,['Prime Video'],Country: America
The Fall,https://reelgood.com/show/the-fall-2013,8.2,89.0,"['Crime', 'Drama', 'Mystery']",Rated: 18+ (TV-MA),2013 - 2016,3 Seasons,Series Ended,"['Prime Video', 'Hoopla', 'BritBox']",Country: Ireland
Marvel's Agents of S.H.I.E.L.D.,https://reelgood.com/show/marvels-agents-of-shield-2013,7.5,89.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2013 - 2020,7 Seasons,Series Ended,"['Netflix', 'Hulu']",Country: America
Grey's Anatomy,https://reelgood.com/show/greys-anatomy-2005,7.6,88.0,['Drama'],Rated: 14+ (TV-14),2005 - Present,16 Seasons,Returning: Date TBA,"['Netflix', 'Hulu']",Country: America
My Hero Academia,https://reelgood.com/show/my-hero-academia-2016,8.5,88.0,"['Action & Adventure', 'Animation', 'Anime', 'Comedy', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2016 - Present,4 Seasons,Returning: Date TBA,"['Hulu', 'Crunchyroll', 'Funimation']",Country: Japan
House of Cards,https://reelgood.com/show/house-of-cards-2013,8.7,88.0,"['Crime', 'Drama', 'Sport']",Rated: 18+ (TV-MA),2013 - 2018,6 Seasons,Series Ended,['Netflix'],Country: America
House of Cards,https://reelgood.com/show/house-of-cards-2013,8.5,65.0,['Drama'],Rated: 14+ (TV-14),1990 - 1995,3 Seasons,Series Ended,['Netflix'],Country: United Kingdom
Fleabag,https://reelgood.com/show/fleabag-2016,8.7,88.0,"['Comedy', 'Drama']",Rated: 18+ (TV-MA),2016 - 2019,2 Seasons,Series Ended,['Prime Video'],Country: United Kingdom
Futurama,https://reelgood.com/show/futurama-1999,8.4,88.0,"['Animation', 'Comedy', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),1999 - 2013,8 Seasons,Series Ended,"['Hulu', 'fuboTV']",Country: America
The Handmaid's Tale,https://reelgood.com/show/the-handmaids-tale-2017,8.5,88.0,"['Drama', 'Fantasy', 'Science-Fiction']",Rated: 18+ (TV-MA),2017 - Present,3 Seasons,Returning: Date TBA,['Hulu'],Country: America
The Crown,https://reelgood.com/show/the-crown-2016,8.7,88.0,['Drama'],Rated: 18+ (TV-MA),2016 - Present,3 Seasons,Returning: Date TBA,['Netflix'],Country: United Kingdom ...More CountriesUnited KingdomAmerica
Sons of Anarchy,https://reelgood.com/show/sons-of-anarchy-2008,8.6,88.0,"['Crime', 'Drama', 'Mystery']",Rated: 18+ (TV-MA),2008 - 2014,7 Seasons,Series Ended,['Hulu'],Country: America
Outlander,https://reelgood.com/show/outlander-2014,8.4,88.0,"['Action & Adventure', 'Animation', 'Comedy', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 18+ (TV-MA),2014 - Present,5 Seasons,Returning: Date TBA,"['Netflix', 'Starz']",Country: America
When They See Us,https://reelgood.com/show/when-they-see-us-2019,8.9,88.0,"['Crime', 'Drama']",Rated: 18+ (TV-MA),2019 - 2019,1 Season,Series Ended,['Netflix'],Country: America
The Vampire Diaries,https://reelgood.com/show/the-vampire-diaries-2009,7.7,88.0,"['Drama', 'Fantasy', 'Horror', 'Mystery']",Rated: 14+ (TV-14),2009 - 2017,9 Seasons,Series Ended,['Netflix'],Country: America
Prison Break,https://reelgood.com/show/prison-break-2005,8.3,88.0,"['Action & Adventure', 'Crime', 'Drama', 'Mystery']",Rated: 14+ (TV-14),2005 - 2017,5 Seasons,Series Ended,['Hulu'],Country: America
The Legend of Korra,https://reelgood.com/show/the-legend-of-korra-2012,8.4,88.0,"['Action & Adventure', 'Animation', 'Children', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Science-Fiction']",Rated: 7+ (TV-PG),2012 - 2014,4 Seasons,Series Ended,"['Netflix', 'CBS All Access', 'Hoopla']",Country: America
Last Week Tonight with John Oliver,https://reelgood.com/show/last-week-tonight-with-john-oliver-2014,8.9,88.0,['Comedy'],Rated: 18+ (TV-MA),2014 - Present,7 Seasons,"Returns: Sep. 28, 2020","['HBO', 'HBO MAX']",Country: America
Killing Eve,https://reelgood.com/show/killing-eve-2018,8.3,88.0,"['Action & Adventure', 'Crime', 'Drama', 'LGBTQ', 'Mystery']",Rated: 14+ (TV-14),2018 - Present,3 Seasons,Returning: Date TBA,['Hulu'],Country: America
Gravity Falls,https://reelgood.com/show/gravity-falls-2012,8.9,88.0,"['Action & Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Horror', 'Mystery', 'Science-Fiction']",Rated: 7+ (TV-PG),2012 - 2016,2 Seasons,Series Ended,"['Hulu', 'Disney+']",Country: America
The Blacklist,https://reelgood.com/show/the-blacklist-2013,8.0,88.0,"['Action & Adventure', 'Crime', 'Drama', 'Mystery']",Rated: 14+ (TV-14),2013 - Present,7 Seasons,Returning: Date TBA,"['Netflix', 'fuboTV']",
Arrested Development,https://reelgood.com/show/arrested-development-2003,8.7,88.0,['Comedy'],Rated: 14+ (TV-14),2003 - Present,5 Seasons,Returning: Date TBA,"['Netflix', 'Hulu']",Country: America
Sacred Games,https://reelgood.com/show/sacred-games-2018,8.7,87.0,"['Action & Adventure', 'Crime', 'Drama']",Rated: 18+ (TV-MA),2018 - Present,2 Seasons,Returning: Date TBA,['Netflix'],Country: India
Archer,https://reelgood.com/show/archer-2009,8.6,87.0,"['Action & Adventure', 'Animation', 'Comedy', 'Drama']",Rated: 18+ (TV-MA),2009 - Present,11 Seasons,"Returns: Sep. 17, 2020","['Hulu', 'fuboTV']",Country: America
Euphoria,https://reelgood.com/show/euphoria-2019,8.4,87.0,"['Drama', 'LGBTQ']",Rated: 18+ (TV-MA),2019 - Present,1 Season,Returning: Date TBA,"['HBO', 'HBO MAX']",Country: America
